Neighborhood,Restaurant,Price ($),Rating (out of 5)
UDistrict,Panda Noodle Bar,15,4.45
UDistrict,Taste of Xi'an,17,4.46
UDistrict,U:Don,13,4.38
UDistrict,Shawarma King,12,4.36
UDistrict,Samir's Mediterranean Grill,14,4.53
UDistrict,Cedars of Lebanon,16,4.53
UDistrict,Pho Shizzle,19,4.22
UDistrict,Thanh Vi,18,4.33
UDistrict,Sultan Gyros Grill,13,4.41
UDistrict,BB's Teriyaki Grill,11,3.99
UDistrict,Burger and Kabob Hut,10,4.31
UDistrict,Sizzle & Crunch,20,4.25
UDistrict,Little Thai Restaurant,18,4.31
UDistrict,Saigon Deli,12,4.62
UDistrict,Aladdin Gyro-Cery & Deli,9,4.58
UDistrict,The BoB,22,4.35
UDistrict,U DupBop Asian Fusion,18,4.47
UDistrict,Angkor Wok,25,4.51
UDistrict,Cheba Hut,15,4.79
UDistrict,Mr. Lu's Seafood & Burgers,14,4.54
UDistrict,Master Bing,16,4.84
UDistrict,Mee Sum,19,4.5
UDistrict,Bombay Express,17,4.37
University Village,Din Tai Fung,47,4.57
University Village,JOEY,41,4.69
University Village,Dough Zone Dumpling House,28,4.17
University Village,M Cozy Fusion Cafe,24,3.87
University Village,Elemental Pizza,29,3.8
University Village,Shake Shack,20,3.71
University Village,Veggie Grill,13,4.3
University Village,Ma'ono Fried Chicken,16,4.28
University Village,Pasta & Co,19,3.94
University Village,Eureka!,28,4.24
University Village,Ba Bar,25,4.24
University Village,Tutta Bella,24,4.36
University Village,Piatti,29,3.96
University Village,Bamboo Sushi,19,4.18
University Village,Evergreens,18,4.23
University Village,Burgermaster,15,4.24
Pike Place,The Fisherman's Restaurant,39,3.95
Pike Place,Matt's in the Market,33,4.43
Pike Place,Maximilien,72,4.34
Pike Place,Noi Thai Cuisine,27,4.56
Pike Place,Skillet Diner,26,4.32
Pike Place,The Pink Door,45,4.62
Pike Place,Place Pigalle,40,4.52
Pike Place,Conversation Kitchen,55,4.17
Pike Place,The Crab Pot Seattle,64,4.46
Pike Place,Goldfinch Tavern,50,4.47
Pike Place,Wild Ginger,40,4.39
Pike Place,Mint Progressive Indian,57,4.27
Pike Place,Elliott's Oyster House,52,4.11
